Id,postScore,views,answers,comments,totalTagCount,maxTagCount,numTags,ownerRep
"32351016","0","26","0","0","751215","750572","3","15"
"32682617","1","67","3","7","1044570","960372","3","94"
"32716577","0","38","2","5","53202","27734","3","15"
"31110186","1","58","1","0","831185","831061","2","17"
"31155799","0","135","1","0","85838","29029","4","13"
"31263436","0","78","1","0","11573","10111","3","628"
"31229476","0","54","0","0","133112","133112","1","158"
"30579891","-2","51","2","2","53288","48219","2","4"
"30181429","0","40","0","2","1658159","982794","2","1"
"30451344","1","67","2","4","467915","385333","3","15"
"31746721","0","38","2","0","1188800","831061","2","25"
"30677764","0","123","1","5","122808","106909","4","755"
"32868768","2","43","0","7","1112162","871812","5","634"
"32715518","0","37","2","0","31648","28351","4","2110"
"31184186","0","102","0","2","44075","43314","3","2406"
"31432023","1","286","3","0","2137332","982794","4","293"
"30987212","0","41","1","8","1081447","982794","2","367"
"31278773","0","31","1","2","18345","13535","2","1"
"30829448","-5","72","2","5","1305073","831061","2","40"
"31464924","-2","54","1","2","147675","113858","3","1"
"30619931","0","49","1","0","18985","11051","3","15"
"32795827","0","32","2","2","960372","960372","1","162"
"30028179","0","73","7","3","988375","960372","4","5"
"31195009","0","50","1","2","1115906","982794","2","1749"
"32828728","0","21","1","1","46066","34829","3","1268"
"31070976","9","179","1","9","887923","750572","5","1418"
"31830485","0","126","1","5","961729","960372","2","126"
"30652832","0","28","2","0","428523","347308","2","55"
"30422957","0","28","0","1","535605","495141","3","1123"
"30338134","0","15","2","2","443","443","1","500"
"30372094","1","65","1","1","984133","960372","2","12466"
"32539961","1","40","1","0","49611","43678","2","352"
"30343707","1","100","1","0","1006313","831061","5","8"
"30643297","-3","39","1","0","95232","68983","2","1"
"31622688","1","35","2","0","987234","871812","4","308"
"31804554","1","44","2","1","1221212","982794","4","518"
"31204544","1","26","0","2","395410","385333","2","89"
"32473990","0","29","1","0","91715","56886","2","859"
"30987948","-4","93","2","25","217592","198876","3","680"
"31176157","2","46","0","2","986342","871812","3","50"
"31988249","1","24","1","0","76986","76986","1","21"
"31701938","0","26","1","0","193533","147176","4","21"
"32222698","5","64","2","4","908284","871812","2","89"
"32174400","0","51","1","9","971204","960372","2","76"
"32243056","0","27","2","0","1081447","982794","2","67"
"30737655","0","92","0","0","763865","750572","4","179"
"30477275","-1","132","5","9","1010082","960372","4","106"
"31150226","1","54","1","12","1116572","982794","3","431"
"32292124","0","18","1","1","681871","675365","2","16"
"30992462","2","52","2","1","418241","407384","2","23"
"30376608","0","51","1","5","1107915","871812","5","4421"
"30489818","3","38","3","2","1081447","982794","2","273"
"31289367","1","45","1","2","58401","34829","3","28"
"32621160","0","33","0","0","19332","14198","3","4"
"31430964","0","29","1","0","1054836","871812","5","119"
"32105973","0","36","1","4","872094","871812","2","527"
"31707511","0","45","0","1","719271","675365","4","6"
"30180370","0","585","0","1","523938","474012","4","3"
"31370566","0","47","4","0","986822","960372","4","11"
"31809068","0","39","2","0","983036","982794","2","20"
"32095150","0","63","2","4","1888487","982794","4","1"
"31244584","0","87","3","3","986435","960372","3","384"
"30398025","1","58","0","0","277367","220865","3","11"
"30928320","-2","75","2","3","407384","407384","1","1"
"31682579","1","31","0","6","4377","4377","1","183"
"32182658","0","17","0","2","1268","1187","2","1"
"30617366","1","129","0","6","160677","101867","5","2845"
"32705983","0","30","2","0","7159","5635","3","348"
"31968627","1","91","1","0","755830","750572","3","16"
"31096907","3","165","1","0","127924","113858","4","4613"
"30288559","0","36","1","3","431460","407384","3","47"
"31898176","0","32","1","16","147125","147125","1","7"
"31447131","0","63","0","1","766238","385333","5","6510"
"30401769","0","1590","2","0","6399","6277","2","3"
"32612902","0","79","2","0","125434","87096","4","3"
"30810596","1","96","1","7","464794","385333","5","53"
"30162577","2","75","2","1","982794","982794","1","57"
"31618403","1","57","3","1","505579","495141","3","67"
"30613622","3","234","0","4","963176","960372","2","85"
"31425714","1","68","0","8","116619","113858","4","25"
"30278472","0","41","0","2","113858","113858","1","9"
"30250085","1","95","3","8","1029843","960372","5","29"
"30889846","0","201","1","4","867461","831061","4","4061"
"30814340","0","43","2","0","113330","112172","2","5065"
"30166321","1","83","2","0","30353","22587","2","136"
"31013143","2","94","2","5","961349","960372","3","301"
"30455858","5","101","0","2","754109","750572","3","942"
"32200331","0","25","1","1","956765","831061","2","689"
"32458882","1","29","0","2","81659","43285","2","6"
"32261908","0","40","2","2","783636","750572","3","17"
"31391983","-2","85","1","2","451259","385333","3","33"
"30436236","0","59","5","3","960372","960372","1","1"
"31538924","0","66","1","6","764407","750572","3","7045"
"32346731","0","39","0","2","1277623","831061","4","754"
