Id,postScore,views,answers,comments,totalTagCount,maxTagCount,numTags,ownerRep
"32174274","4","116","3","4","29298","29055","2","5956"
"32167965","2","57","1","0","29055","29055","1","747"
"31826615","0","38","1","1","29851","20330","4","1"
"32554425","0","54","1","2","39883","38161","3","305"
"32182123","-1","18","1","0","5660","4778","4","1"
"32830431","1","191","2","14","67762","31161","5","10"
"31837100","0","89","1","8","52572","38161","5","1"
"31788175","1","53","1","0","41362","21665","4","6"
"32465099","0","23","1","0","38278","38161","2","86"
"32014595","0","116","1","2","2146","1620","5","111"
"32160477","-1","29","2","2","6520","5974","2","22"
"32724732","1","52","2","2","24","24","1","41"
"32822943","0","24","1","0","3280","3268","2","19"
"32046208","0","44","1","0","45969","31161","5","6"
"32063520","2","66","2","12","44407","31161","2","46"
"32691519","4","69","1","2","30158","29055","2","79"
"32241015","5","40","1","0","38478","38161","2","4176"
"32385297","0","57","0","0","9267","5974","3","1"
"32683152","0","9","1","4","32646","32646","1","1"
"32134234","0","15","1","0","1038","936","2","1"
"32658870","0","17","0","3","38879","38161","4","44"
"32691001","0","61","3","7","19933","12782","2","2145"
"31769984","0","96","2","2","31828","20330","4","1722"
"32335493","0","59","1","0","34992","32646","4","3"
"32360654","0","31","0","6","45","45","1","2024"
"32360136","1","53","1","0","80987","48492","3","1687"
"31850522","0","53","0","2","30491","29055","5","82"
"32700825","0","22","0","0","33138","32646","2","71"
"31917120","1","68","1","9","13328","13246","2","6"
"32133716","1","72","2","0","959","509","2","6"
"32432450","0","151","2","1","14344","12782","5","446"
"32811061","1","41","4","5","32646","32646","1","61"
"32872011","0","12","0","1","432","327","2","8"
"32097709","0","34","0","5","78035","48492","5","63"
"32537270","1","36","2","0","1464","1464","1","6"
"31985919","0","20","0","1","1414","1399","2","6"
"32469350","-3","43","1","5","45313","38161","3","25"
"31868195","1","75","2","3","29055","29055","1","20"
"32197002","1","21","1","3","45865","38161","3","878"
"32320299","0","23","0","2","37949","21665","3","11"
"32358596","0","28","3","1","13246","13246","1","52"
"32481893","0","50","2","6","52924","31161","3","689"
"32597184","0","91","1","0","32576","29055","4","1378"
"32259349","0","94","1","1","33276","32646","4","30"
"32311586","0","64","1","2","49470","48492","3","3"
"32261407","2","29","3","3","78739","38161","5","17"
"32485769","0","11","1","0","5234","3451","3","74"
"32199435","0","39","1","5","8652","7387","3","16"
"31759874","0","13","0","1","83220","48492","3","6"
"31819788","2","59","0","0","25880","24099","5","11"
"31905756","0","33","2","0","77551","48492","4","552"
"32209545","-1","57","1","6","72368","38161","3","11"
"32534837","1","58","1","1","25981","24099","3","181"
"32487827","0","110","2","13","38633","29055","4","7"
"32145080","0","36","0","0","1642","1579","4","1"
"32255834","0","48","1","5","62036","48492","2","3"
"31917263","0","64","0","2","78700","48492","5","85"
"32600353","1","32","1","0","30215","29055","5","52"
"32742405","0","162","3","18","12826","12782","3","4377"
"32456071","1","48","1","1","7894","7090","3","565"
"31949394","0","23","0","0","12835","10685","2","15"
"32308417","0","37","0","5","3151","2300","3","1"
"32033304","1","57","5","3","15750","12782","2","11"
"32661303","-1","33","1","3","47891","31161","4","61"
